Department,EducationField,JobRole,MaritalStatus,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,JobLevel,DistanceFromHome,Age
Research & Development,Medical,Research Scientist,Divorced,Female,2645,6,5,4,1,2,43
Sales,Marketing,Sales Representative,Married,Male,2683,3,3,2,1,3,50
Sales,Marketing,Sales Representative,Married,Female,2014,2,2,2,1,2,35
Research & Development,Life Sciences,Research Scientist,Married,Female,3419,6,1,0,1,5,36
Sales,Life Sciences,Sales Executive,Married,Female,5376,10,5,3,2,1,33
Research & Development,Other,Laboratory Technician,Divorced,Male,1951,1,1,0,1,4,35
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,2341,1,1,0,1,2,27
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2293,1,1,1,1,25,26
Sales,Life Sciences,Sales Executive,Single,Male,8726,9,9,7,3,8,27
Research & Development,Medical,Laboratory Technician,Single,Female,4011,12,12,7,2,1,30
Research & Development,Technical Degree,Research Director,Married,Female,19545,23,22,8,5,12,41
Sales,Marketing,Sales Executive,Single,Male,4568,10,9,7,2,23,34
Research & Development,Life Sciences,Research Scientist,Married,Male,3022,8,1,0,1,19,37
Sales,Marketing,Sales Executive,Single,Male,5772,14,9,8,2,5,46
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2269,1,1,1,1,8,35
Research & Development,Life Sciences,Laboratory Technician,Single,Male,5381,23,1,0,3,1,48
Research & Development,Technical Degree,Laboratory Technician,Single,Male,3441,2,2,2,1,5,28
Sales,Marketing,Sales Executive,Divorced,Female,5454,9,4,3,2,1,44
Research & Development,Medical,Healthcare Representative,Married,Male,9884,10,4,3,3,11,35
Sales,Marketing,Sales Executive,Married,Female,4157,5,2,0,2,23,26
Research & Development,Life Sciences,Research Director,Single,Female,13458,15,15,12,3,1,33
Sales,Life Sciences,Sales Executive,Married,Male,9069,9,9,8,3,18,35
Research & Development,Medical,Laboratory Technician,Married,Female,4014,4,2,2,1,23,35
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,5915,10,7,7,2,7,31
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,5993,7,7,7,2,1,37
Research & Development,Medical,Manufacturing Director,Married,Male,6162,9,9,8,2,1,32
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2406,10,10,9,2,29,38
Research & Development,Medical,Research Director,Divorced,Female,18740,29,27,8,5,7,50
Sales,Life Sciences,Sales Executive,Single,Female,7637,28,21,9,3,25,59
Research & Development,Technical Degree,Healthcare Representative,Divorced,Female,10096,17,17,8,3,8,36
Research & Development,Medical,Manager,Divorced,Female,14756,21,5,2,4,8,55
Research & Development,Life Sciences,Manufacturing Director,Single,Male,6499,6,6,3,2,11,36
Research & Development,Life Sciences,Research Scientist,Divorced,Male,9724,25,1,0,3,7,45
Research & Development,Medical,Research Scientist,Married,Male,2194,5,3,2,1,1,35
Research & Development,Medical,Research Scientist,Married,Male,3388,2,1,0,1,9,36
Sales,Life Sciences,Sales Executive,Single,Female,5473,20,4,3,2,1,59
Research & Development,Life Sciences,Research Scientist,Married,Male,2703,6,5,4,1,2,29
Research & Development,Medical,Research Scientist,Single,Male,2501,1,1,0,1,1,31
Research & Development,Life Sciences,Research Scientist,Married,Male,6220,10,10,9,2,1,32
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3038,5,1,0,1,6,36
Research & Development,Life Sciences,Manufacturing Director,Single,Female,4424,11,11,8,2,8,31
Sales,Marketing,Sales Executive,Single,Male,4312,16,15,8,2,1,35
Research & Development,Other,Research Director,Married,Male,13245,17,0,0,3,6,45
Research & Development,Medical,Research Director,Single,Male,13664,16,5,2,3,7,37
Human Resources,Medical,Human Resources,Divorced,Male,5021,16,4,2,2,5,46
Research & Development,Life Sciences,Laboratory Technician,Married,Male,5126,10,10,0,2,1,30
Research & Development,Medical,Research Scientist,Single,Male,2859,6,6,4,1,1,35
Sales,Life Sciences,Sales Executive,Married,Male,10239,24,1,0,3,1,55
Research & Development,Medical,Research Scientist,Divorced,Female,5329,17,13,9,2,6,38
Research & Development,Medical,Manufacturing Director,Married,Male,4325,5,5,3,2,1,34
Research & Development,Life Sciences,Manufacturing Director,Single,Male,7260,37,6,2,3,7,56
Sales,Technical Degree,Sales Representative,Divorced,Male,2322,3,0,0,1,2,23
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2075,10,4,3,1,9,51
Research & Development,Life Sciences,Healthcare Representative,Married,Male,4152,11,11,8,2,2,30
Sales,Medical,Sales Executive,Single,Male,9619,9,9,7,3,9,46
Research & Development,Life Sciences,Healthcare Representative,Married,Male,13503,22,22,11,4,1,40
Sales,Marketing,Sales Executive,Single,Male,5441,11,10,0,2,21,51
Sales,Medical,Sales Executive,Divorced,Female,5209,11,11,7,2,4,30
Research & Development,Medical,Healthcare Representative,Married,Male,10673,21,10,5,3,1,46
Sales,Medical,Sales Executive,Single,Male,5010,12,11,7,2,6,32
Research & Development,Technical Degree,Research Director,Married,Female,13549,16,4,3,3,2,54
Sales,Other,Sales Executive,Married,Female,4999,4,3,2,2,3,24
Sales,Medical,Sales Executive,Married,Male,4221,5,5,4,2,4,28
Sales,Medical,Sales Executive,Single,Male,13872,38,37,8,4,10,58
Research & Development,Medical,Laboratory Technician,Married,Male,2042,17,3,2,2,23,44
Human Resources,Human Resources,Human Resources,Divorced,Male,2073,7,3,2,1,6,37
Research & Development,Life Sciences,Research Scientist,Single,Male,2956,1,1,0,1,1,32
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2926,1,1,0,1,6,20
Research & Development,Other,Research Scientist,Single,Female,4809,16,16,10,2,6,34
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,5163,17,1,0,2,2,37
Human Resources,Human Resources,Manager,Married,Female,18844,30,3,2,5,2,59
Research & Development,Life Sciences,Research Director,Married,Female,18172,28,8,7,5,1,50
Sales,Marketing,Sales Executive,Single,Male,5744,6,6,3,2,5,25
Research & Development,Medical,Research Scientist,Married,Male,2889,2,2,1,1,7,25
Research & Development,Medical,Laboratory Technician,Single,Female,2871,1,0,0,1,15,22
Research & Development,Medical,Healthcare Representative,Single,Female,7484,23,13,8,3,1,51
Research & Development,Life Sciences,Laboratory Technician,Single,Male,6074,9,9,6,2,7,34
Human Resources,Human Resources,Manager,Single,Female,17328,23,5,4,4,26,54
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2774,6,5,2,1,18,24
Research & Development,Life Sciences,Research Scientist,Divorced,Female,4505,12,1,0,2,6,34
Sales,Life Sciences,Sales Executive,Single,Male,7428,12,5,3,3,3,37
Research & Development,Medical,Manager,Single,Female,11631,14,11,8,3,5,34
Sales,Technical Degree,Sales Executive,Married,Female,9738,10,9,8,3,11,36
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,2835,7,1,0,1,3,36
Sales,Life Sciences,Manager,Married,Male,16959,25,25,12,4,26,43
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2613,10,10,9,1,23,30
Sales,Marketing,Sales Executive,Married,Male,6146,8,7,7,2,22,33
Research & Development,Life Sciences,Research Scientist,Married,Female,4963,7,5,3,1,14,56
Research & Development,Life Sciences,Research Director,Single,Male,19537,23,20,15,5,6,51
Sales,Life Sciences,Sales Executive,Married,Male,6172,12,7,7,2,6,31
Research & Development,Other,Research Scientist,Married,Female,2368,5,5,3,1,6,26
Research & Development,Medical,Healthcare Representative,Married,Female,10312,40,40,6,3,23,58
Sales,Marketing,Sales Representative,Single,Male,1675,0,0,0,1,22,19
Research & Development,Technical Degree,Laboratory Technician,Married,Male,2523,3,2,1,1,2,22
Research & Development,Medical,Manufacturing Director,Married,Female,6567,16,15,11,2,20,49
Research & Development,Medical,Research Scientist,Single,Female,4739,18,3,2,1,28,43
Sales,Marketing,Sales Executive,Single,Female,9208,16,2,1,3,12,50
Sales,Life Sciences,Sales Executive,Married,Female,4559,4,2,2,2,20,31
Sales,Life Sciences,Sales Executive,Divorced,Male,8189,12,9,7,3,9,41
Human Resources,Life Sciences,Human Resources,Married,Female,2942,8,8,7,1,25,26
Research & Development,Medical,Manufacturing Director,Divorced,Male,4941,7,3,1,2,6,36
Research & Development,Life Sciences,Manufacturing Director,Single,Male,10650,18,4,3,3,8,51
Sales,Life Sciences,Sales Executive,Married,Female,5902,17,15,9,2,4,39
Sales,Life Sciences,Sales Executive,Married,Male,8639,6,2,2,2,28,25
Human Resources,Human Resources,Human Resources,Married,Male,6347,12,11,7,2,9,30
Research & Development,Medical,Laboratory Technician,Single,Female,4200,10,5,4,1,9,32
Research & Development,Medical,Research Scientist,Single,Male,3452,9,6,3,1,29,45
Research & Development,Technical Degree,Research Scientist,Single,Female,4317,19,3,2,2,3,38
Research & Development,Life Sciences,Research Scientist,Single,Female,2632,5,5,4,1,18,30
Sales,Medical,Sales Executive,Divorced,Male,4668,9,8,7,2,9,32
Research & Development,Technical Degree,Research Scientist,Divorced,Female,3204,8,3,2,1,5,30
Research & Development,Medical,Laboratory Technician,Single,Male,2720,6,5,2,1,2,30
Research & Development,Life Sciences,Manager,Divorced,Male,17181,21,7,7,4,10,41
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2238,7,5,4,1,9,41
Research & Development,Medical,Laboratory Technician,Single,Female,1483,1,1,0,1,3,19
Research & Development,Medical,Research Scientist,Divorced,Female,5605,20,20,13,2,26,40
Sales,Marketing,Sales Executive,Married,Male,7295,10,10,6,3,1,35
Sales,Marketing,Sales Representative,Married,Male,2306,13,7,5,2,6,53
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2348,20,17,15,2,9,45
Sales,Marketing,Sales Executive,Single,Female,8998,9,9,7,3,8,32
Research & Development,Technical Degree,Manufacturing Director,Married,Male,4319,10,10,9,2,1,29
Research & Development,Medical,Manufacturing Director,Married,Male,6132,10,1,0,2,7,51
Research & Development,Medical,Research Scientist,Married,Female,3346,9,1,0,1,9,58
Sales,Marketing,Sales Executive,Married,Male,10855,15,12,11,3,4,40
Sales,Marketing,Sales Representative,Married,Female,2231,6,4,2,1,2,34
Research & Development,Medical,Research Scientist,Married,Male,2323,2,2,2,1,19,22
Research & Development,Medical,Research Scientist,Divorced,Male,2024,6,2,2,1,9,27
Research & Development,Medical,Research Scientist,Married,Male,2713,5,5,2,1,21,28
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,9439,12,5,4,3,24,57
Research & Development,Medical,Research Scientist,Divorced,Male,2566,1,1,1,1,3,27
Research & Development,Life Sciences,Manager,Single,Female,19926,21,5,4,5,11,50
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2451,13,9,8,1,14,41
Sales,Life Sciences,Sales Executive,Married,Female,9419,12,10,4,3,5,30
Sales,Life Sciences,Sales Executive,Single,Female,8686,12,8,7,2,1,38
Research & Development,Life Sciences,Research Scientist,Single,Male,3038,8,5,4,1,6,32
Research & Development,Technical Degree,Research Scientist,Married,Male,3058,6,5,1,1,17,27
Sales,Technical Degree,Sales Representative,Single,Female,2325,1,0,0,1,1,19
Research & Development,Medical,Laboratory Technician,Single,Male,2088,13,8,2,1,3,36
Research & Development,Medical,Laboratory Technician,Divorced,Male,3072,12,12,10,2,9,30
Sales,Life Sciences,Sales Executive,Divorced,Female,5006,9,5,3,2,4,45
Research & Development,Life Sciences,Research Scientist,Divorced,Female,4257,19,2,2,1,8,56
Research & Development,Life Sciences,Research Scientist,Single,Male,2500,4,3,2,1,2,33
Research & Development,Life Sciences,Laboratory Technician,Single,Male,1102,1,1,0,1,2,19
Sales,Marketing,Sales Executive,Divorced,Female,10453,24,24,7,3,1,46
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2288,2,2,1,1,9,38
Research & Development,Medical,Research Scientist,Married,Female,3929,7,4,2,1,12,31
Research & Development,Medical,Research Scientist,Single,Female,2311,9,3,2,1,27,34
Sales,Marketing,Sales Representative,Single,Female,3140,4,4,2,1,20,41
Research & Development,Medical,Laboratory Technician,Married,Male,3690,5,3,2,1,1,50
Research & Development,Medical,Manufacturing Director,Divorced,Female,4450,5,4,3,2,13,53
Research & Development,Medical,Research Scientist,Married,Female,2756,8,8,6,1,14,33
Research & Development,Medical,Manager,Married,Female,19033,21,20,9,5,4,40
Research & Development,Medical,Research Director,Single,Male,18722,36,24,15,5,14,55
Research & Development,Life Sciences,Manufacturing Director,Married,Male,9547,10,10,9,2,2,34
Research & Development,Medical,Healthcare Representative,Single,Female,13734,21,7,0,4,3,51
Research & Development,Life Sciences,Manager,Married,Male,19999,34,33,9,5,1,52
Research & Development,Medical,Research Scientist,Single,Female,2279,7,7,3,1,9,27
Research & Development,Life Sciences,Manufacturing Director,Married,Male,5916,8,1,1,2,23,35
Research & Development,Medical,Research Scientist,Divorced,Male,2089,7,5,2,1,7,43
Research & Development,Medical,Manager,Married,Male,16792,22,20,8,4,2,45
Research & Development,Life Sciences,Research Scientist,Married,Male,3564,8,8,7,1,21,37
Research & Development,Medical,Laboratory Technician,Single,Female,4425,10,6,2,2,2,35
Research & Development,Medical,Manufacturing Director,Divorced,Female,5265,11,5,2,2,21,42
Research & Development,Life Sciences,Manufacturing Director,Married,Male,6553,14,1,0,2,2,38
Research & Development,Technical Degree,Manufacturing Director,Married,Male,6261,9,7,7,2,29,38
Research & Development,Technical Degree,Manufacturing Director,Married,Male,4298,6,2,0,2,1,27
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,6804,7,7,7,2,18,49
Research & Development,Medical,Research Scientist,Divorced,Male,3815,5,5,0,1,10,34
Research & Development,Medical,Laboratory Technician,Married,Male,2741,15,7,7,2,19,40
Research & Development,Medical,Healthcare Representative,Married,Male,6673,17,1,0,2,29,38
Sales,Marketing,Sales Executive,Married,Female,7639,10,10,9,3,27,29
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2328,4,4,2,1,5,22
Research & Development,Medical,Laboratory Technician,Single,Female,2153,8,8,7,1,18,36
Research & Development,Life Sciences,Healthcare Representative,Married,Male,4876,5,3,2,2,9,40
Research & Development,Medical,Healthcare Representative,Divorced,Male,9396,17,4,3,3,1,46
Sales,Medical,Sales Executive,Married,Male,10400,14,14,8,3,4,32
Research & Development,Life Sciences,Manufacturing Director,Single,Male,8474,12,11,8,3,1,30
Sales,Life Sciences,Sales Executive,Single,Female,9981,7,7,7,2,20,27
Research & Development,Life Sciences,Research Director,Married,Male,12490,16,10,7,3,8,51
Research & Development,Technical Degree,Research Scientist,Single,Female,2657,8,5,4,1,3,30
Sales,Life Sciences,Manager,Single,Female,13591,16,1,0,3,6,41
Sales,Marketing,Sales Executive,Single,Female,6696,9,6,1,2,26,30
Research & Development,Technical Degree,Research Scientist,Single,Male,2058,7,6,5,1,1,29
Sales,Medical,Sales Executive,Single,Female,8865,23,19,8,3,6,45
Sales,Marketing,Sales Executive,Married,Female,5940,16,6,5,2,3,54
Research & Development,Life Sciences,Laboratory Technician,Single,Male,5914,16,13,7,2,5,36
Research & Development,Medical,Research Scientist,Married,Female,2622,7,3,1,1,4,33
Research & Development,Other,Research Director,Divorced,Male,12185,10,10,7,3,11,37
Sales,Life Sciences,Sales Executive,Divorced,Male,10609,17,16,13,3,3,38
Research & Development,Medical,Manufacturing Director,Married,Male,4345,6,5,4,2,1,31
Research & Development,Life Sciences,Research Scientist,Married,Male,2177,7,1,0,1,3,59
Sales,Marketing,Sales Representative,Divorced,Male,2793,13,9,8,1,4,37
Sales,Medical,Sales Executive,Married,Female,7918,11,11,1,3,1,29
Sales,Marketing,Sales Executive,Single,Female,8789,10,10,8,3,1,35
Research & Development,Medical,Research Scientist,Single,Male,2389,4,4,1,1,18,29
Research & Development,Life Sciences,Laboratory Technician,Single,Female,3212,6,2,2,1,2,52
Research & Development,Technical Degree,Manager,Married,Male,19232,22,22,15,5,4,42
Human Resources,Medical,Human Resources,Married,Male,2267,7,2,2,1,6,59
Sales,Medical,Manager,Divorced,Female,19517,32,7,6,5,1,50
Research & Development,Medical,Laboratory Technician,Married,Male,2436,8,5,4,1,14,33
Sales,Marketing,Manager,Married,Female,16064,22,17,9,4,16,43
Research & Development,Life Sciences,Laboratory Technician,Married,Female,2707,13,9,7,1,2,33
Sales,Life Sciences,Manager,Single,Male,19068,33,33,12,5,2,52
Sales,Life Sciences,Sales Representative,Married,Female,3931,6,4,2,1,4,32
Research & Development,Life Sciences,Laboratory Technician,Single,Male,3730,4,3,2,1,1,32
Research & Development,Medical,Laboratory Technician,Divorced,Female,2232,7,3,2,1,1,39
Sales,Marketing,Sales Executive,Married,Male,4465,4,3,2,2,26,32
Research & Development,Life Sciences,Research Scientist,Divorced,Male,3072,17,1,0,2,19,41
Research & Development,Technical Degree,Research Scientist,Divorced,Male,3319,9,9,7,2,24,40
Research & Development,Other,Manager,Married,Male,19202,25,24,7,5,1,45
Research & Development,Medical,Research Director,Divorced,Male,13675,9,2,2,3,3,31
Research & Development,Life Sciences,Research Scientist,Married,Female,2911,2,2,2,1,5,33
Research & Development,Life Sciences,Manufacturing Director,Married,Male,5957,13,11,9,2,2,34
Research & Development,Medical,Research Scientist,Married,Female,3920,17,3,2,1,1,37
Research & Development,Life Sciences,Manufacturing Director,Married,Male,6434,9,3,2,2,7,45
Research & Development,Medical,Manufacturing Director,Divorced,Male,10048,17,1,0,3,10,37
Research & Development,Technical Degree,Healthcare Representative,Single,Female,10938,20,19,8,3,2,39
Research & Development,Life Sciences,Research Scientist,Single,Male,2340,6,6,5,1,15,29
Research & Development,Life Sciences,Research Scientist,Single,Female,6545,10,3,2,2,17,42
Sales,Marketing,Sales Executive,Divorced,Male,6931,10,3,2,2,20,29
Research & Development,Life Sciences,Manufacturing Director,Married,Female,4898,5,4,2,2,1,25
Research & Development,Medical,Laboratory Technician,Divorced,Female,2593,10,9,8,1,2,42
Research & Development,Medical,Research Director,Divorced,Male,19436,22,21,9,5,2,40
Research & Development,Life Sciences,Research Scientist,Married,Male,2723,1,1,0,1,1,51
Research & Development,Medical,Laboratory Technician,Single,Male,3479,6,5,4,1,29,31
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2794,5,5,3,1,7,32
Sales,Life Sciences,Sales Executive,Married,Male,5249,13,8,5,2,2,38
Research & Development,Technical Degree,Laboratory Technician,Single,Male,2176,9,6,4,2,2,32
Sales,Technical Degree,Manager,Married,Female,16872,28,7,7,4,2,46
Research & Development,Life Sciences,Laboratory Technician,Single,Male,3485,5,0,0,1,2,28
Sales,Medical,Sales Executive,Married,Male,6644,10,0,0,2,2,29
Research & Development,Medical,Healthcare Representative,Married,Male,5582,10,9,8,2,23,31
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,4000,6,6,5,2,5,25
Research & Development,Medical,Healthcare Representative,Married,Male,13496,21,20,10,4,20,45
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3210,16,15,11,1,6,36
Research & Development,Medical,Manager,Single,Male,19045,37,36,13,5,1,55
Research & Development,Life Sciences,Manager,Married,Male,11849,10,10,9,3,29,47
Research & Development,Medical,Research Scientist,Married,Male,2070,5,5,4,1,9,28
Sales,Medical,Sales Executive,Married,Male,6502,7,5,1,2,6,37
Research & Development,Medical,Research Scientist,Single,Male,3230,3,3,0,1,3,21
Research & Development,Medical,Research Director,Divorced,Female,13603,15,5,2,3,1,37
Research & Development,Life Sciences,Manager,Divorced,Female,11996,10,7,2,3,22,35
Sales,Medical,Sales Executive,Divorced,Female,5605,8,8,7,2,7,38
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,6397,6,6,4,2,1,26
Research & Development,Life Sciences,Research Director,Divorced,Male,19144,28,10,6,5,4,50
Research & Development,Medical,Research Director,Married,Male,17584,21,5,3,4,3,53
Sales,Life Sciences,Sales Executive,Married,Male,4907,20,20,6,2,1,42
Sales,Life Sciences,Sales Executive,Single,Male,4554,10,10,9,2,2,29
Research & Development,Technical Degree,Laboratory Technician,Married,Male,5415,12,10,8,2,20,55
Research & Development,Medical,Healthcare Representative,Married,Male,4741,5,5,3,2,11,26
Research & Development,Life Sciences,Research Scientist,Single,Female,2115,17,17,7,1,1,37
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,3161,19,1,0,1,24,44
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,5745,10,2,2,2,23,38
Research & Development,Medical,Laboratory Technician,Divorced,Male,2373,5,3,2,1,16,26
Research & Development,Life Sciences,Research Scientist,Single,Female,3310,5,5,2,1,8,28
Research & Development,Life Sciences,Research Director,Single,Female,18665,22,3,2,5,10,49
Research & Development,Technical Degree,Research Scientist,Single,Male,4485,10,8,7,2,3,36
Sales,Marketing,Sales Representative,Divorced,Female,2789,2,2,2,1,5,31
Sales,Marketing,Sales Executive,Single,Male,5828,8,8,4,2,4,26
Research & Development,Medical,Research Scientist,Married,Male,2326,4,4,2,1,9,37
Sales,Marketing,Sales Executive,Married,Female,13525,23,20,8,4,26,42
Research & Development,Life Sciences,Laboratory Technician,Single,Male,1420,0,0,0,1,3,18
Sales,Marketing,Sales Executive,Married,Male,8020,12,11,9,3,16,35
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3688,4,1,0,1,18,36
Research & Development,Medical,Manufacturing Director,Divorced,Male,5482,13,4,2,2,2,51
Sales,Life Sciences,Manager,Single,Male,16015,22,22,4,4,2,41
Sales,Medical,Sales Representative,Single,Female,1200,0,0,0,1,10,18
Research & Development,Medical,Healthcare Representative,Single,Male,5661,9,8,7,2,16,28
Sales,Technical Degree,Sales Executive,Married,Male,6929,10,8,7,2,7,31
Research & Development,Medical,Healthcare Representative,Divorced,Male,9613,19,18,7,3,1,39
Research & Development,Life Sciences,Laboratory Technician,Married,Female,5674,11,9,8,2,24,36
Sales,Life Sciences,Sales Executive,Married,Male,5484,13,13,8,2,7,32
Research & Development,Life Sciences,Research Director,Married,Female,12061,19,10,1,3,25,38
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,5660,12,5,2,2,1,58
Research & Development,Technical Degree,Research Scientist,Married,Male,4821,6,5,3,1,5,31
Human Resources,Human Resources,Human Resources,Married,Male,6410,9,2,0,2,2,31
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,5210,24,24,11,3,7,45
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2695,3,2,2,1,2,31
Research & Development,Life Sciences,Manager,Married,Female,11878,12,10,8,3,5,33
Research & Development,Medical,Manager,Married,Male,17068,21,21,10,4,10,39
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2455,9,8,7,1,10,43
Research & Development,Technical Degree,Healthcare Representative,Single,Female,13964,25,7,7,4,1,49
Research & Development,Medical,Research Scientist,Married,Male,4941,11,8,7,2,8,52
Research & Development,Life Sciences,Research Scientist,Single,Female,2478,4,4,2,1,5,27
Sales,Technical Degree,Sales Executive,Married,Female,5228,13,13,9,2,8,32
Sales,Life Sciences,Sales Executive,Single,Male,4478,5,5,4,2,2,27
Sales,Marketing,Sales Executive,Divorced,Male,7547,13,7,7,2,7,31
Research & Development,Medical,Research Scientist,Single,Female,5055,10,7,7,2,2,32
Research & Development,Medical,Research Scientist,Married,Male,3464,5,3,2,1,2,28
Research & Development,Medical,Research Scientist,Married,Female,5775,11,10,9,2,28,30
Research & Development,Life Sciences,Manufacturing Director,Married,Female,8943,10,10,9,3,7,31
Research & Development,Medical,Manager,Married,Male,19272,21,21,3,5,7,39
Sales,Medical,Sales Executive,Married,Female,5238,12,1,0,2,3,39
Sales,Marketing,Sales Executive,Single,Male,4682,9,7,1,2,10,33
Research & Development,Life Sciences,Research Director,Married,Male,18300,21,3,1,5,5,47
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,5257,9,9,0,2,10,43
Sales,Marketing,Sales Executive,Married,Male,6349,6,5,4,2,1,27
Research & Development,Life Sciences,Research Scientist,Single,Female,4869,20,4,3,2,20,54
Research & Development,Life Sciences,Healthcare Representative,Married,Female,9985,10,1,0,3,7,43
Research & Development,Other,Research Scientist,Married,Male,3697,12,10,8,2,8,45
Sales,Medical,Sales Executive,Married,Male,7457,6,4,2,2,1,40
Research & Development,Other,Laboratory Technician,Married,Male,2119,7,7,7,1,8,29
Research & Development,Other,Laboratory Technician,Single,Male,3983,4,3,2,1,9,29
Sales,Marketing,Sales Executive,Divorced,Female,6118,10,10,2,2,5,30
Sales,Marketing,Sales Executive,Married,Female,6214,8,8,7,2,8,27
Research & Development,Medical,Manufacturing Director,Divorced,Male,6347,8,6,4,2,5,37
Research & Development,Life Sciences,Research Director,Divorced,Male,11510,12,11,9,3,15,38
Research & Development,Medical,Manufacturing Director,Single,Female,7143,11,11,10,3,7,31
Sales,Marketing,Sales Executive,Divorced,Female,8268,7,7,7,2,10,29
Research & Development,Technical Degree,Manufacturing Director,Single,Male,8095,17,16,13,3,5,35
Research & Development,Life Sciences,Research Scientist,Divorced,Male,2904,4,4,2,1,26,23
